model,fold,accuracy,macro_f1,weighted_f1,mae,qwk,adj_acc
koclip_ft,0,0.44587843463780186,0.4273543642486266,0.444602471954858,1.1128226477935055,0.24085318741310058,0.697751873438801
koclip_ft,1,0.4504166666666667,0.4357678513959454,0.4537013730879056,1.0883333333333334,0.298953234004673,0.7158333333333333
koclip_ft,2,0.45965058236272877,0.43906074422150737,0.45837341566484685,1.026206322795341,0.33287247165827893,0.7279534109816972
koclip_ft,3,0.4543940024989588,0.43602497893246506,0.45288875593848943,1.0279050395668472,0.32775952747520976,0.7309454394002499
koclip_ft,4,0.4779534109816972,0.4566164279961192,0.47718899100821077,1.0178868552412645,0.33361362976881015,0.7250415973377704
